D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
0:0,15:9,2:1,1:0,0:0,0:0,2:2,1:0,16:6,0:1,2:3,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 5 Hours Ago,4376
1:5,29:17,1:2,0:2,0:0,0:1,5:7,3:2,3:7,0:0,1:1,2:1,1:0,0:0,0:0,0:0,0:0,0:0,1:1,1:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,4376
0:2,1:1,3:7,0:4,0:0,37:20,1:0,0:0,0:1,0:0,0:1,0:1,23:20,0:0,2:4,1:0,0:0,0:1,8:7,0:0,0:0,0:1,0:0,0:1,0:1,0:0,Updated : 12 Hours Ago,4376
0:0,103:59,6:9,2:2,0:0,9:6,24:33,0:1,21:12,58:42,0:4,12:10,1:3,0:1,1:1,4:2,4:6,1:1,4:10,0:0,2:1,3:5,11:24,0:1,2:2,2:0,Updated : 12 Hours Ago,4376
17:18,5:3,1:1,148:114,25:20,5:7,2:8,1:3,1:5,1:3,2:3,20:13,1:2,8:20,1:2,20:13,2:3,1:10,42:30,0:0,0:1,1:3,0:12,11:10,1:4,6:8,Updated : 7 Hours Ago,4376
0:1,0:0,0:0,0:0,0:0,10:11,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4375
1:3,9:6,1:2,0:1,2:1,0:0,2:2,6:5,0:0,0:1,6:5,0:0,1:2,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : Just Now,4375
10:7,3:2,8:6,4:4,5:2,1:0,16:15,44:29,4:6,0:0,4:5,0:0,6:5,0:0,1:2,0:1,0:0,1:0,8:9,0:0,1:1,1:0,0:0,0:0,3:2,0:0,Updated : 35 Min. Ago,4375
2:0,81:50,0:0,0:0,0:1,0:0,31:16,9:14,0:0,1:2,4:2,0:0,10:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:3,0:0,Updated : 25 Hours Ago,4375
3:7,0:0,110:93,0:0,0:0,59:52,0:0,0:0,1:2,0:0,0:0,1:0,0:0,0:0,0:0,5:6,0:0,0:0,8:9,0:0,0:0,3:4,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4375
0:0,2:0,0:0,2:0,0:0,0:0,3:2,1:0,0:0,1:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4374
