D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
1:1,0:0,7:15,0:1,0:0,11:7,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,3:1,0:0,0:0,4:2,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 230 Hours Ago,4489
16:15,3:5,2:4,8:6,12:7,0:0,1:4,1:0,1:0,0:0,4:3,0:1,12:14,0:0,0:0,0:0,0:1,0:1,1:0,0:0,0:0,0:1,0:1,0:0,1:0,0:0,Updated : 24 Hours Ago,4489
9:5,1:2,4:4,0:0,2:3,0:0,5:8,51:44,1:1,1:0,0:0,3:0,3:2,0:2,0:0,0:0,0:0,5:4,3:4,0:0,0:0,0:0,0:1,0:0,1:1,0:0,Updated : 11 Hours Ago,4489
2:2,1:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4488
0:0,1:0,0:0,0:0,2:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,1:1,0:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 5 Hours Ago,4487
12:6,0:1,13:11,1:3,1:0,0:3,0:0,0:0,0:0,0:0,0:0,3:3,1:1,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4487
2:4,2:0,22:14,5:2,4:3,2:3,0:0,0:0,0:0,2:1,0:0,2:2,5:1,0:0,0:0,1:0,0:0,1:0,2:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4487
0:0,3:5,0:1,0:1,0:0,0:0,75:54,0:0,2:2,0:0,0:3,0:0,8:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 15 Hours Ago,4487
1:0,4:3,1:2,0:0,1:0,4:2,1:0,0:0,1:2,0:1,0:0,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,1:0,0:0,0:0,1:0,0:0,Updated : 12 Hours Ago,4486
1:2,3:1,2:1,1:0,0:1,2:1,3:4,4:3,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,4486
6:3,17:13,3:4,5:5,2:0,4:4,26:23,0:1,3:1,0:2,22:9,2:2,5:13,0:1,0:0,0:1,0:0,0:1,2:3,0:0,1:0,0:1,1:3,0:0,1:1,0:0,Updated : 36 Hours Ago,4485
0:0,2:3,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,7:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 20 Hours Ago,4484
2:2,7:6,3:1,4:3,0:0,0:1,3:2,4:1,0:1,1:2,3:1,2:0,2:2,0:0,1:0,0:0,0:0,2:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 31 Hours Ago,4483
51:40,1:4,12:9,2:1,0:1,47:23,0:1,1:0,3:3,1:1,0:3,9:6,1:1,0:0,0:0,1:1,0:0,0:1,3:2,0:0,0:0,0:0,0:3,0:1,0:1,0:0,Updated : 10 Hours Ago,4483
0:0,11:3,0:0,2:0,0:0,0:0,7:3,0:0,0:0,0:0,3:2,0:0,9:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4631
0:0,0:0,7:2,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:1,0:0,0:0,0:0,0:0,Updated : 6 Hours Ago,4482
2:1,2:1,0:1,1:0,0:0,0:0,0:0,3:2,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4481
1:1,0:1,1:1,0:1,0:0,1:0,0:0,11:4,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 9 Hours Ago,4481
4:2,0:1,0:1,3:0,0:0,10:5,7:4,2:1,1:1,0:1,0:1,0:0,0:1,0:0,1:1,0:1,0:0,1:0,1:0,1:0,0:0,0:1,0:0,1:1,0:0,0:0,Updated : 14 Hours Ago,4481
2:2,0:0,14:6,0:0,0:0,15:19,0:0,0:0,0:2,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Min. Ago,4481
0:1,5:6,2:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,4479
1:0,0:0,0:0,0:0,1:0,28:28,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 11 Hours Ago,4479
1:0,11:7,1:0,0:1,1:0,0:0,1:0,19:14,0:0,1:0,0:0,0:0,1:0,2:2,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 80 Hours Ago,4479
0:0,15:4,0:0,0:1,0:0,0:0,4:4,20:10,0:0,0:0,4:4,0:0,0:1,1:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:3,0:0,0:0,0:0,Updated : 130 Hours Ago,4478
0:0,22:19,0:0,0:0,0:0,0:0,14:10,0:0,0:0,0:0,14:13,0:0,17:11,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,4478
0:9,23:17,18:9,8:4,2:2,4:4,10:15,12:8,2:2,4:2,12:11,2:2,0:1,0:0,0:0,1:1,0:0,0:1,6:4,0:0,0:0,1:0,0:1,0:1,0:0,0:0,Updated : 23 Hours Ago,4478
4:1,15:10,2:1,0:0,0:0,0:0,1:0,3:4,0:0,2:1,1:4,0:1,1:2,0:0,0:0,0:0,0:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 108 Hours Ago,4477
14:2,0:0,0:0,0:1,1:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,27:17,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 60 Hours Ago,4477
30:16,3:1,1:2,1:4,3:1,0:1,1:1,1:4,0:0,4:2,0:1,1:1,1:2,0:0,0:0,0:0,0:0,3:0,1:2,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 12 Hours Ago,4477
1:1,0:0,1:2,0:1,1:2,1:2,0:0,1:0,3:3,1:0,1:1,0:0,1:1,0:0,0:0,0:0,1:0,0:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4004
1:2,3:1,1:0,2:0,4:1,1:2,4:4,0:1,0:0,3:2,5:3,0:0,7:4,0:0,0:0,0:1,1:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 24 Hours Ago,4476
46:29,0:0,0:0,1:1,0:3,0:0,0:1,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 57 Hours Ago,4476
13:12,34:18,4:7,11:8,4:1,6:4,6:5,21:12,1:0,2:2,24:15,3:2,1:1,0:1,1:1,1:0,0:2,2:1,5:4,0:0,0:0,1:0,0:1,1:1,0:0,0:0,Updated : 32 Min. Ago,4476
22:5,16:9,5:2,8:5,2:2,1:4,3:7,7:4,0:1,1:0,5:7,1:1,2:1,0:0,0:0,0:2,4:6,0:1,2:1,0:0,0:0,0:1,1:0,0:0,0:0,0:0,Updated : 48 Hours Ago,4475
0:1,72:62,27:18,20:13,0:2,2:1,7:12,8:8,8:3,14:11,36:25,1:0,5:6,0:1,0:0,0:0,0:0,6:5,3:5,2:2,0:1,0:1,1:1,0:0,1:1,0:1,Updated : 38 Hours Ago,4475
0:0,0:1,2:2,0:0,0:0,9:13,0:0,0:1,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4474
14:6,3:4,11:7,4:5,2:2,0:4,1:2,13:7,9:3,3:2,1:0,3:1,2:1,0:0,0:0,1:2,1:0,1:0,7:6,0:0,1:1,0:0,0:1,0:0,0:0,0:0,Updated : 12 Hours Ago,4474
3:3,37:25,4:7,1:2,0:0,3:0,0:2,10:6,0:2,5:2,0:1,6:1,3:2,0:0,0:0,1:0,0:0,1:1,6:10,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 36 Hours Ago,4474
14:10,1:1,5:10,0:2,0:0,2:2,2:0,0:1,0:0,0:0,0:0,2:2,0:0,0:0,0:0,1:0,0:0,0:0,32:25,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 8 Hours Ago,4473
9:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4472
3:2,0:1,0:1,1:2,0:0,0:3,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Min. Ago,4472
0:0,9:6,1:0,0:0,0:0,0:0,5:2,0:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 82 Hours Ago,4472
1:1,18:10,1:3,1:1,0:0,1:0,3:2,1:1,0:1,2:1,3:1,1:0,1:1,0:0,0:0,1:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,4472
84:67,0:1,5:7,3:6,0:0,13:15,0:1,0:0,1:2,3:2,0:0,1:2,0:0,0:0,0:0,1:3,0:0,0:0,10:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 11 Hours Ago,4472
1:0,0:4,4:3,1:0,1:1,0:0,2:3,2:2,4:0,0:0,0:1,0:0,2:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,4471
7:3,0:3,16:13,1:3,1:0,8:11,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,5:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 116 Hours Ago,4471
2:0,37:35,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,2:1,0:0,7:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 12 Hours Ago,4471
1:4,0:0,10:6,0:2,0:2,33:27,0:0,2:1,12:6,0:0,0:0,3:3,0:3,0:0,0:0,0:2,0:0,0:0,9:6,3:2,0:1,12:12,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4471
0:0,0:0,0:0,0:1,2:0,0:0,2:0,0:0,0:0,1:1,1:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,1:0,0:0,Updated : 13 Hours Ago,4470
23:10,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4470
17:14,0:0,2:2,2:3,1:3,0:0,0:0,1:2,0:0,0:0,0:1,2:1,0:0,0:0,0:0,0:0,0:0,0:0,16:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 101 Hours Ago,4470
0:0,31:15,1:0,1:0,0:1,0:0,6:4,1:2,0:0,1:2,3:1,1:0,5:5,0:0,0:0,0:1,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4470
2:3,9:6,0:2,5:0,1:0,2:1,7:8,3:3,1:0,0:1,9:10,1:1,2:2,0:0,0:0,0:0,0:0,1:2,0:3,0:0,0:0,0:0,0:1,0:1,0:1,0:0,Updated : 134 Hours Ago,4470
0:2,28:12,3:1,1:2,1:1,2:0,12:7,30:18,0:0,4:3,7:3,1:0,2:1,1:1,0:0,1:0,0:0,7:3,2:2,1:0,0:0,1:0,0:1,0:0,0:1,0:0,Updated : 22 Hours Ago,4470
12:8,18:18,27:19,4:8,2:3,1:3,25:21,20:9,8:6,0:1,10:12,4:3,1:3,1:0,0:0,0:2,0:0,1:3,1:2,3:0,1:1,0:0,0:0,0:0,0:1,0:0,Updated : 8 Hours Ago,4470
0:0,0:2,0:0,0:0,0:0,0:0,2:0,1:0,0:0,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,3:0,0:0,Updated : 2 Hours Ago,4469
0:0,0:0,0:1,0:1,0:0,14:5,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:2,0:0,0:0,0:0,0:0,Updated : 103 Hours Ago,4469
0:1,2:1,4:1,2:1,0:0,0:0,0:4,22:15,0:0,3:1,2:4,0:0,0:1,0:0,0:0,1:0,0:0,3:1,2:0,0:0,0:0,0:1,4:0,0:0,0:0,0:0,Updated : 7 Hours Ago,4469
28:34,0:0,6:12,1:5,1:2,8:6,0:1,0:0,0:1,0:1,0:0,4:5,0:0,0:0,0:0,2:3,0:0,0:0,33:21,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 3 Hours Ago,4469
1:3,7:6,2:4,2:1,2:0,0:1,1:1,4:4,0:0,0:1,0:1,1:0,1:1,0:0,0:0,0:1,0:0,1:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 141 Hours Ago,4468
2:1,15:8,0:1,2:3,1:2,2:2,1:2,2:3,0:0,1:1,1:0,1:0,5:7,0:0,2:1,0:0,0:0,2:1,1:1,0:0,2:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4468
25:15,7:7,3:0,1:0,0:1,1:0,2:0,1:5,0:1,1:0,0:1,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 37 Hours Ago,4468
16:10,0:0,3:3,4:1,2:1,2:2,0:0,0:1,1:1,1:1,0:2,5:1,0:0,0:0,0:0,5:2,0:0,0:2,15:8,0:0,0:0,0:1,0:0,0:0,1:0,0:0,Updated : 3 Hours Ago,4467
0:1,22:20,0:0,0:0,22:11,0:0,13:6,0:0,0:0,0:0,27:16,0:0,8:8,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 34 Hours Ago,4467
10:10,1:2,13:9,27:20,5:2,16:11,4:3,0:2,1:3,0:0,0:1,3:1,1:2,0:0,1:0,4:1,0:0,0:0,7:8,0:0,0:0,1:4,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4467
23:18,21:19,7:5,4:6,3:1,4:3,6:5,15:10,2:0,2:4,4:1,1:3,1:3,0:1,0:1,0:2,0:0,2:1,5:9,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Min. Ago,4505
10:7,0:0,5:1,3:1,0:0,3:0,0:3,0:0,0:1,0:1,0:0,1:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 20 Hours Ago,4466
5:2,0:0,1:2,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4465
2:1,2:1,0:1,0:0,0:0,0:0,1:1,17:10,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,2:1,1:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4465
0:0,0:1,0:5,1:1,1:0,0:1,0:1,1:1,3:2,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 60 Hours Ago,4464
8:10,0:1,3:3,4:9,0:0,5:3,0:0,0:1,1:0,0:0,0:0,3:2,0:0,0:0,0:0,1:2,0:0,0:0,17:10,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 83 Hours Ago,4464
0:0,15:13,1:0,1:0,1:1,0:0,6:4,9:8,0:0,9:4,0:0,0:0,19:11,0:2,0:0,0:0,0:0,7:3,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,Updated : 11 Hours Ago,4464
0:1,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,2:2,0:0,0:0,5:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4463
0:0,2:0,42:33,3:2,1:0,7:8,0:0,0:0,7:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:0,Updated : 69 Hours Ago,4463
9:5,1:3,22:20,1:1,1:2,16:13,0:1,3:3,4:2,1:0,0:1,1:1,0:1,0:0,0:0,1:1,0:0,1:0,5:5,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4463
4:2,9:7,37:24,2:6,0:0,4:4,1:3,3:3,9:8,1:1,2:3,2:0,3:1,0:0,0:0,0:2,0:0,1:1,11:4,0:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4463
4:3,24:25,13:10,0:2,0:2,4:5,15:18,15:13,6:2,3:1,12:10,0:1,2:2,0:0,0:0,0:0,0:0,2:2,5:3,0:0,0:0,1:1,0:1,0:0,0:0,0:0,Updated : 12 Hours Ago,4463
0:0,0:0,13:4,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 5 Hours Ago,4462
6:5,0:0,1:1,0:0,0:0,10:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,4462
19:9,3:2,9:11,2:5,5:1,11:15,1:2,4:3,35:24,2:4,0:1,0:0,4:2,1:0,0:1,1:0,0:0,0:0,3:5,0:0,5:1,8:6,0:1,0:0,0:1,0:0,Updated : 10 Hours Ago,4462
3:1,25:21,16:9,6:6,4:5,2:2,23:23,34:20,1:0,1:1,22:15,0:1,2:2,0:0,0:0,0:0,0:0,4:3,1:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 3 Hours Ago,4462
1:3,10:6,0:1,2:11,0:0,1:2,1:1,11:7,1:0,42:27,82:33,1:0,0:17,5:6,0:0,0:0,0:3,0:1,0:2,0:1,0:1,0:0,1:9,0:5,0:2,0:0,Updated : 6 Hours Ago,4462
0:0,0:3,0:0,0:0,0:0,0:0,1:2,1:1,0:0,0:0,0:1,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 45 Hours Ago,4461
7:1,0:0,0:0,2:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 49 Hours Ago,4461
0:2,0:0,7:2,0:1,0:0,5:6,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 288 Hours Ago,4461
1:2,28:19,7:5,4:2,2:0,0:0,11:7,16:17,7:5,2:1,11:10,0:0,3:3,0:0,1:0,2:1,0:0,1:2,2:1,0:1,0:1,0:0,1:0,0:1,0:0,0:0,Updated : 12 Hours Ago,4461
7:3,1:0,3:1,5:3,0:0,0:2,1:0,2:0,0:1,0:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,1:1,12:8,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 55 Hours Ago,4460
10:7,8:12,2:3,4:2,5:3,0:3,5:5,1:0,0:0,1:1,3:1,1:1,2:2,0:0,0:0,0:0,0:0,1:1,6:3,0:0,0:0,2:0,0:0,0:0,0:0,0:0,Updated : 40 Hours Ago,4460
1:2,0:0,1:3,0:0,1:0,56:37,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:2,0:1,0:0,0:0,0:1,Updated : 36 Hours Ago,4460
0:1,0:0,5:9,0:2,0:0,57:50,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4460
0:0,69:41,4:2,2:4,2:2,5:5,23:18,15:11,0:2,4:2,12:8,5:2,42:34,5:2,0:1,1:1,5:1,2:1,2:2,0:0,2:2,3:3,9:7,1:1,5:1,1:1,Updated : 13 Hours Ago,4460
0:0,0:0,0:0,0:0,0:0,10:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 40 Hours Ago,4459
0:0,1:2,1:2,1:2,0:0,0:0,10:6,0:0,1:1,2:1,2:0,0:0,1:2,0:0,0:0,0:1,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,4459
1:1,7:6,4:1,0:0,6:4,0:1,1:1,8:6,0:0,0:1,0:1,0:0,4:3,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4459
8:8,0:0,5:7,0:0,2:2,0:0,1:0,0:0,6:2,0:0,0:0,0:0,4:5,0:0,1:1,1:1,0:0,0:0,11:6,0:0,0:0,4:3,0:0,0:0,1:0,0:0,Updated : 59 Hours Ago,4459
0:1,0:0,0:2,0:0,0:0,68:51,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4459
3:4,6:3,0:1,3:1,3:2,1:2,13:11,25:19,0:0,5:4,7:3,0:0,2:1,0:0,0:1,1:0,0:0,4:4,0:1,0:0,0:0,0:0,0:1,0:0,1:1,0:0,Updated : 40 Min. Ago,4459
0:0,2:1,1:1,0:0,0:0,2:0,2:1,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 58 Min. Ago,4458
0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,2:3,0:0,0:0,12:13,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 11 Hours Ago,4458
0:0,7:5,0:0,1:0,0:1,0:0,5:4,0:0,0:0,0:0,2:2,1:0,8:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,Updated : 10 Hours Ago,4458
0:1,4:3,0:0,1:0,3:2,1:0,8:2,11:6,0:0,1:0,3:2,0:0,0:0,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 12 Hours Ago,4458
3:0,42:25,4:2,2:0,1:0,0:0,3:5,0:1,2:0,5:2,13:23,0:0,14:16,0:0,0:0,0:1,0:0,0:1,1:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,Updated : 11 Hours Ago,4458
0:0,39:22,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4457
0:0,4:2,20:14,1:0,0:0,1:1,4:2,4:1,3:4,0:1,2:3,0:0,0:0,0:0,0:0,0:1,1:0,0:1,0:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4457
3:1,0:1,0:0,1:1,0:0,0:0,1:3,26:15,1:2,2:3,2:3,0:1,1:1,0:0,0:0,1:0,0:0,3:2,2:1,0:0,0:0,0:0,2:1,1:0,0:0,0:0,Updated : 168 Hours Ago,4457
1:2,2:4,68:63,3:2,0:0,9:9,1:3,1:1,0:1,0:0,1:2,1:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 48 Hours Ago,4457
2:2,5:4,0:1,2:1,0:0,0:0,2:1,0:0,0:0,4:3,2:0,0:0,4:2,0:0,0:0,1:0,1:0,3:1,1:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 24 Hours Ago,4456
0:1,11:6,0:0,2:0,0:0,1:0,3:2,2:1,0:0,0:0,5:4,1:0,3:1,1:0,0:0,0:0,0:0,2:0,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 7 Hours Ago,4456
10:3,0:1,1:2,7:2,4:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,1:0,10:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4456
12:9,0:4,5:4,4:0,0:0,13:9,7:10,3:7,0:1,10:5,4:3,5:2,0:0,1:0,0:0,0:2,1:0,1:1,2:0,0:0,0:0,0:0,1:2,0:0,0:1,0:0,Updated : 87 Hours Ago,4456
8:6,11:10,17:9,2:4,2:2,2:5,7:8,69:46,0:0,3:4,2:1,0:1,7:6,0:0,0:0,0:0,1:0,4:6,2:5,0:0,0:1,0:0,2:1,0:1,3:1,0:0,Updated : 90 Hours Ago,4456
11:3,1:1,11:6,1:1,1:0,9:5,0:0,1:1,0:2,0:1,0:2,3:3,0:1,0:0,0:0,1:1,0:0,0:0,3:3,0:0,0:0,1:0,0:0,0:0,0:1,0:0,Updated : 14 Hours Ago,4455
5:1,0:0,4:0,0:0,0:0,31:35,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4455
2:2,8:5,3:5,3:3,2:2,1:1,7:6,9:9,1:1,1:3,3:4,2:1,4:4,0:1,0:1,1:0,0:0,2:2,6:1,0:0,1:0,0:1,0:0,0:0,0:1,0:0,Updated : 12 Hours Ago,4455
